ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P04,1,donut,100,90
P04,2,donut,42,40
P04,3,stacked,66,50
P04,4,donut,92,95
P04,5,donut,52,50
P04,6,bar,56,60
P04,7,bar,36,40
P04,8,bar,76,80
P04,9,bar,88,90
P04,10,stacked,39,30
P04,11,stacked,51,40
P04,12,donut,80,65
P04,13,donut,95,90
P04,14,stacked,80,75
P04,15,bar,27,25
P04,16,stacked,79,90
P04,17,stacked,44,40
P04,18,stacked,58,60
P04,19,bar,63,70
P04,20,stacked,85,80
P04,21,bar,63,70
P04,22,donut,94,90
P04,23,bar,92,95
P04,24,donut,84,60
P04,25,bar,99,99
P04,26,bar,61,65
P04,27,bar,90,95
P04,28,donut,62,50
P04,29,donut,91,85
P04,30,stacked,66,60
P04,31,donut,53,40
P04,32,donut,39,35
P04,33,stacked,13,15
P04,34,bar,71,75
P04,35,stacked,86,90
P04,36,stacked,63,60
P04,37,bar,86,85
P04,38,donut,28,20
P04,39,bar,74,80
P04,40,donut,16,0
P04,41,donut,32,30
P04,42,donut,15,15
P04,43,bar,80,80
P04,44,bar,89,90
P04,45,stacked,95,99
P04,46,donut,49,50
P04,47,stacked,84,85
P04,48,donut,37,30
P04,49,donut,48,50
P04,50,donut,97,99
P04,51,stacked,31,25
P04,52,stacked,63,30
P04,53,stacked,80,95
P04,54,bar,86,85
P04,55,bar,59,60
P04,56,stacked,43,50
P04,57,stacked,84,95
P04,58,bar,98,99
P04,59,bar,46,45
P04,60,stacked,51,45
