ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent,Error
P04,22,donut,94,90,2.0443941193584534
P04,23,bar,92,95,1.6438561897747246
P04,24,donut,84,60,4.592457037268081
P04,25,bar,99,99,0.0
P04,26,bar,61,65,2.0443941193584534
P04,27,bar,90,95,2.357552004618084
P04,28,donut,62,50,3.599912842187128
P04,29,donut,91,85,2.6147098441152083
P04,30,stacked,66,60,2.6147098441152083
P04,31,donut,53,40,3.7142455176661224
P04,32,donut,39,35,2.0443941193584534
P04,33,stacked,13,15,1.0874628412503393
P04,34,bar,71,75,2.0443941193584534
P04,35,stacked,86,90,2.0443941193584534
P04,36,stacked,63,60,1.6438561897747246
P04,37,bar,86,85,0.16992500144231237
P04,38,donut,28,20,3.0223678130284544
P04,39,bar,74,80,2.6147098441152083
P04,40,donut,16,0,4.011227255423254
P04,41,donut,32,30,1.0874628412503393
P04,42,donut,15,15,0.0
P04,43,bar,80,80,0.0
P04,44,bar,89,90,0.16992500144231237
P04,45,stacked,95,99,2.0443941193584534
P04,46,donut,49,50,0.16992500144231237
P04,47,stacked,84,85,0.16992500144231237
P04,48,donut,37,30,2.8328900141647417
P04,49,donut,48,50,1.0874628412503393
P04,50,donut,97,99,1.0874628412503393
P04,51,stacked,31,25,2.6147098441152083
P04,52,stacked,63,30,5.049848549450561
P04,53,stacked,80,95,3.9188632372745946
P04,54,bar,86,85,0.16992500144231237
P04,55,bar,59,60,0.16992500144231237
P04,56,stacked,43,50,2.8328900141647417
P04,57,stacked,84,95,3.4757334309663976
P04,58,bar,98,99,0.16992500144231237
P04,59,bar,46,45,0.16992500144231237
P04,60,stacked,51,45,2.6147098441152083
P05,1,stacked,46,50,2.0443941193584534
P05,2,stacked,25,25,0.0
P05,3,donut,55,23,5.005624549193878
P05,4,bar,34,40,2.6147098441152083
P05,5,donut,15,18,1.6438561897747246
P05,6,stacked,26,25,0.16992500144231237
P05,7,donut,65,50,3.9188632372745946
P05,8,donut,87,89,1.0874628412503393
P05,9,bar,62,70,3.0223678130284544
P05,10,stacked,68,75,2.8328900141647417
P05,11,stacked,82,100,4.1799090900149345
P05,12,stacked,24,25,0.16992500144231237
P05,13,stacked,27,25,1.0874628412503393
P05,14,stacked,76,97,4.400879436282184
P05,15,stacked,61,80,4.257387842692652
P05,16,donut,77,80,1.6438561897747246
P05,17,donut,65,76,3.4757334309663976
P05,18,bar,86,95,3.189824558880017
P05,19,bar,96,97,0.16992500144231237
P05,20,bar,57,60,1.6438561897747246
P05,21,donut,90,99,3.189824558880017
P05,22,donut,72,50,4.467605550082998
P05,23,donut,39,45,2.6147098441152083
P05,24,bar,55,57,1.0874628412503393
P05,25,stacked,58,60,1.0874628412503393
P05,26,donut,53,50,1.6438561897747246
P05,27,donut,33,60,4.7615512324444795
P05,28,donut,22,25,1.6438561897747246
P05,29,bar,82,87,2.357552004618084
P05,30,bar,43,50,2.8328900141647417
P05,31,stacked,97,100,1.6438561897747246
P05,32,bar,16,20,2.0443941193584534
P05,33,bar,82,80,1.0874628412503393
P05,34,donut,89,100,3.4757334309663976
P05,35,bar,52,60,3.0223678130284544
P05,36,bar,69,75,2.6147098441152083
P05,37,stacked,65,75,3.3398500028846247
P05,38,stacked,55,50,2.357552004618084
P05,39,donut,75,90,3.9188632372745946
P05,40,donut,43,30,3.7142455176661224
P05,41,stacked,71,90,4.257387842692652
P05,42,donut,58,55,1.6438561897747246
P05,43,donut,80,70,3.3398500028846247
P05,44,donut,24,25,0.16992500144231237
P05,45,stacked,26,25,0.16992500144231237
P05,46,stacked,49,50,0.16992500144231237
P05,47,bar,53,55,1.0874628412503393
P05,48,bar,82,80,1.0874628412503393
P05,49,bar,86,80,2.6147098441152083
P05,50,donut,54,50,2.0443941193584534
P05,51,bar,41,50,3.189824558880017
P05,52,stacked,79,80,0.16992500144231237
P05,53,donut,93,100,2.8328900141647417
P05,54,bar,96,97,0.16992500144231237
P05,55,stacked,77,79,1.0874628412503393
P05,56,bar,18,20,1.0874628412503393
P05,57,stacked,24,30,2.6147098441152083
P05,58,bar,17,17,0.0
P05,59,stacked,27,20,2.8328900141647417
P05,60,bar,72,70,1.0874628412503393
P06,1,stacked,12,13,0.16992500144231237
P06,2,bar,41,40,0.16992500144231237
P06,3,bar,13,15,1.0874628412503393
P06,4,bar,69,70,0.16992500144231237
P06,5,stacked,15,15,0.0
P06,6,donut,55,67,3.599912842187128
P06,7,bar,71,67,2.0443941193584534
P06,8,stacked,13,15,1.0874628412503393
P06,9,donut,81,85,2.0443941193584534
P06,10,donut,75,80,2.357552004618084
P06,11,donut,32,30,1.0874628412503393
P06,12,donut,41,33,3.0223678130284544
P06,13,bar,90,90,0.0
P06,14,stacked,28,25,1.6438561897747246
P06,15,donut,11,13,1.0874628412503393
P06,16,bar,32,33,0.16992500144231237
P06,17,donut,52,50,1.0874628412503393
P06,18,bar,59,60,0.16992500144231237
P06,19,donut,92,90,1.0874628412503393
P06,20,bar,85,85,0.0
P06,21,donut,15,14,0.16992500144231237
P06,22,donut,92,99,2.8328900141647417
P06,23,stacked,28,30,1.0874628412503393
P06,24,bar,83,80,1.6438561897747246
P06,25,donut,78,80,1.0874628412503393
P06,26,bar,89,88,0.16992500144231237
P06,27,bar,55,60,2.357552004618084
P06,28,bar,90,83,2.8328900141647417
P06,29,donut,39,31,3.0223678130284544
P06,30,bar,14,14,0.0
P06,31,donut,18,20,1.0874628412503393
P06,32,stacked,100,95,2.357552004618084
P06,33,donut,51,50,0.16992500144231237
P06,34,stacked,86,70,4.011227255423254
P06,35,stacked,40,33,2.8328900141647417
P06,36,bar,83,80,1.6438561897747246
P06,37,stacked,57,55,1.0874628412503393
P06,38,bar,18,21,1.6438561897747246
P06,39,bar,77,75,1.0874628412503393
P06,40,stacked,45,40,2.357552004618084
P06,41,stacked,37,35,1.0874628412503393
P06,42,bar,39,40,0.16992500144231237
P06,43,donut,90,97,2.8328900141647417
P06,44,stacked,20,15,2.357552004618084
P06,45,donut,79,80,0.16992500144231237
P06,46,bar,83,90,2.8328900141647417
P06,47,stacked,31,25,2.6147098441152083
P06,48,stacked,71,70,0.16992500144231237
P06,49,bar,48,45,1.6438561897747246
P06,50,bar,99,98,0.16992500144231237
P06,51,stacked,37,33,2.0443941193584534
P06,52,donut,69,67,1.0874628412503393
P06,53,stacked,95,92,1.6438561897747246
P06,54,donut,90,84,2.6147098441152083
P06,55,stacked,54,60,2.6147098441152083
P06,56,donut,28,25,1.6438561897747246
P06,57,donut,86,95,3.189824558880017
P06,58,stacked,41,45,2.0443941193584534
P06,59,stacked,23,20,1.6438561897747246
P06,60,stacked,26,20,2.6147098441152083
P07,1,bar,67,70,1.6438561897747246
P07,2,bar,38,25,3.7142455176661224
P07,3,donut,82,85,1.6438561897747246
P07,4,donut,51,50,0.16992500144231237
P07,5,donut,45,42,1.6438561897747246
P07,6,stacked,93,95,1.0874628412503393
P07,7,stacked,24,10,3.820178962415188
P07,8,bar,71,75,2.0443941193584534
P07,9,bar,88,90,1.0874628412503393
