ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P07,1,bar,67,70
P07,2,bar,38,25
P07,3,donut,82,85
P07,4,donut,51,50
P07,5,donut,45,42
P07,6,stacked,93,95
P07,7,stacked,24,10
P07,8,bar,71,75
P07,9,bar,88,90
P07,10,bar,56,55
P07,11,donut,69,55
P07,12,stacked,77,80
P07,13,stacked,42,40
P07,14,donut,28,15
P07,15,donut,61,65
P07,16,bar,19,20
P07,17,stacked,100,100
P07,18,bar,47,48
P07,19,donut,73,75
P07,20,stacked,35,33
P07,21,stacked,89,85
P07,22,bar,62,50
P07,23,donut,54,50
P07,24,bar,91,90
P07,25,donut,36,20
P07,26,stacked,66,70
P07,27,bar,20,20
P07,28,donut,80,78
P07,29,donut,47,45
P07,30,stacked,72,75
P07,31,bar,98,100
P07,32,stacked,55,52
P07,33,donut,68,60
P07,34,bar,32,35
P07,35,stacked,84,85
P07,36,bar,59,42
P07,37,donut,38,40
P07,38,stacked,50,48
P07,39,bar,76,75
P07,40,donut,92,95
P07,41,stacked,31,30
P07,42,bar,64,68
P07,43,donut,58,60
P07,44,stacked,87,75
P07,45,donut,44,30
P07,46,bar,69,70
P07,47,bar,23,25
P07,48,stacked,78,80
P07,49,donut,65,68
P07,50,bar,52,50
P07,51,stacked,97,95
P07,52,donut,41,28
P07,53,bar,85,85
P07,54,stacked,29,30
P07,55,donut,75,78
P07,56,bar,56,58
P07,57,stacked,63,60
P07,58,bar,35,38
P07,59,donut,99,100
P07,60,stacked,70,60
